datetime,symbol,open,high,low,close,volume
2019-06-22 03:00:00,BINANCE:ALGOUSDT,3.4,3.44,1.88,2.192,16217580.77900001
2019-06-23 03:00:00,BINANCE:ALGOUSDT,2.19,2.234,1.8,1.934,9875011.06000001
2019-06-24 03:00:00,BINANCE:ALGOUSDT,1.932,2.02,1.301,1.416,16193672.788
2019-06-25 03:00:00,BINANCE:ALGOUSDT,1.417,1.92,1.314,1.54,27118197.01899999
2019-06-26 03:00:00,BINANCE:ALGOUSDT,1.538,1.875,1.457,1.595,17449485.35899999
2019-06-27 03:00:00,BINANCE:ALGOUSDT,1.595,1.597,1.371,1.419,7017105.25399999
2019-06-28 03:00:00,BINANCE:ALGOUSDT,1.421,1.589,1.381,1.454,5845445.045
2019-06-29 03:00:00,BINANCE:ALGOUSDT,1.449,1.523,1.411,1.51,5350038.703
2019-06-30 03:00:00,BINANCE:ALGOUSDT,1.508,1.58,1.388,1.449,5230376.814
2019-07-01 03:00:00,BINANCE:ALGOUSDT,1.449,1.468,1.25,1.352,4805958.281
2019-07-02 03:00:00,BINANCE:ALGOUSDT,1.354,1.356,1.032,1.14,8937311.63499999
2019-07-03 03:00:00,BINANCE:ALGOUSDT,1.138,1.186,1.065,1.11,5412448.609
2019-07-04 03:00:00,BINANCE:ALGOUSDT,1.11,1.138,0.984,1.01,5047597.506
2019-07-05 03:00:00,BINANCE:ALGOUSDT,1.009,1.175,0.974,1.127,8906873.66999999
2019-07-06 03:00:00,BINANCE:ALGOUSDT,1.128,1.132,1.024,1.031,4337280.445
2019-07-07 03:00:00,BINANCE:ALGOUSDT,1.031,1.105,1.024,1.065,2975212.85
2019-07-08 03:00:00,BINANCE:ALGOUSDT,1.065,1.067,1.03,1.049,1961005.67
2019-07-09 03:00:00,BINANCE:ALGOUSDT,1.047,1.084,1.015,1.044,3709858.04399999
2019-07-10 03:00:00,BINANCE:ALGOUSDT,1.043,1.119,0.955,1.029,6983704.323
2019-07-11 03:00:00,BINANCE:ALGOUSDT,1.029,1.039,0.843,0.859,4781454.62499999
2019-07-12 03:00:00,BINANCE:ALGOUSDT,0.858,0.938,0.797,0.885,6857361.718
2019-07-13 03:00:00,BINANCE:ALGOUSDT,0.886,1.035,0.869,0.939,9350275.97499999
2019-07-14 03:00:00,BINANCE:ALGOUSDT,0.939,1.03,0.816,0.819,8737776.11499998
2019-07-15 03:00:00,BINANCE:ALGOUSDT,0.819,0.846,0.737,0.807,5111804.17700001
2019-07-16 03:00:00,BINANCE:ALGOUSDT,0.804,0.899,0.63,0.644,6813542.367
2019-07-17 03:00:00,BINANCE:ALGOUSDT,0.645,0.744,0.608,0.674,8854704.113
2019-07-18 03:00:00,BINANCE:ALGOUSDT,0.675,0.706,0.638,0.692,6328374.14
2019-07-19 03:00:00,BINANCE:ALGOUSDT,0.692,0.693,0.649,0.67,2684075.334
2019-07-20 03:00:00,BINANCE:ALGOUSDT,0.67,0.752,0.656,0.708,5291301.343
2019-07-21 03:00:00,BINANCE:ALGOUSDT,0.707,0.712,0.657,0.692,3595344.637
2019-07-22 03:00:00,BINANCE:ALGOUSDT,0.695,0.705,0.631,0.642,2696291.001
2019-07-23 03:00:00,BINANCE:ALGOUSDT,0.642,0.647,0.564,0.58,4882364.60599998
2019-07-24 03:00:00,BINANCE:ALGOUSDT,0.578,0.615,0.555,0.597,3883834.313
2019-07-25 03:00:00,BINANCE:ALGOUSDT,0.595,0.615,0.58,0.61,2292829.525
2019-07-26 03:00:00,BINANCE:ALGOUSDT,0.61,0.709,0.592,0.651,8340632.352
2019-07-27 03:00:00,BINANCE:ALGOUSDT,0.65,0.668,0.57,0.578,4755130.478
2019-07-28 03:00:00,BINANCE:ALGOUSDT,0.578,0.601,0.558,0.577,2289778.751
2019-07-29 03:00:00,BINANCE:ALGOUSDT,0.576,0.594,0.552,0.571,2843701.206
2019-07-30 03:00:00,BINANCE:ALGOUSDT,0.57,0.589,0.555,0.568,2638918.637
2019-07-31 03:00:00,BINANCE:ALGOUSDT,0.567,0.578,0.558,0.567,2692986.065
2019-08-01 03:00:00,BINANCE:ALGOUSDT,0.567,0.57,0.507,0.562,5847654.143
2019-08-02 03:00:00,BINANCE:ALGOUSDT,0.563,0.883,0.554,0.808,45578408.03299992
2019-08-03 03:00:00,BINANCE:ALGOUSDT,0.807,0.858,0.737,0.742,10880500.95199999
2019-08-04 03:00:00,BINANCE:ALGOUSDT,0.742,0.762,0.695,0.705,5935191.16699999
2019-08-05 03:00:00,BINANCE:ALGOUSDT,0.706,0.804,0.676,0.793,10595618.10800001
2019-08-06 03:00:00,BINANCE:ALGOUSDT,0.79,0.801,0.691,0.702,7417216.87000001
2019-08-07 03:00:00,BINANCE:ALGOUSDT,0.704,0.726,0.681,0.691,4998261.746
2019-08-08 03:00:00,BINANCE:ALGOUSDT,0.693,0.777,0.658,0.726,8792651.562
2019-08-09 03:00:00,BINANCE:ALGOUSDT,0.728,0.841,0.688,0.81,15089865.86300001
2019-08-10 03:00:00,BINANCE:ALGOUSDT,0.809,0.863,0.761,0.809,10668919.72
2019-08-11 03:00:00,BINANCE:ALGOUSDT,0.811,0.88,0.803,0.819,7440526.25999998
2019-08-12 03:00:00,BINANCE:ALGOUSDT,0.817,0.819,0.767,0.803,4923044.11199999
2019-08-13 03:00:00,BINANCE:ALGOUSDT,0.804,0.845,0.781,0.809,4011887.652
2019-08-14 03:00:00,BINANCE:ALGOUSDT,0.807,0.849,0.711,0.718,7824309.956
2019-08-15 03:00:00,BINANCE:ALGOUSDT,0.719,0.777,0.689,0.709,6667637.959
2019-08-16 03:00:00,BINANCE:ALGOUSDT,0.708,0.735,0.676,0.677,4553264.191
2019-08-17 03:00:00,BINANCE:ALGOUSDT,0.677,0.726,0.675,0.683,3163205.808
2019-08-18 03:00:00,BINANCE:ALGOUSDT,0.686,0.697,0.664,0.676,2153045.74
