datetime,symbol,open,high,low,close,volume
2019-04-29 03:00:00,BINANCE:ATOMUSDT,4.755,4.755,3.661,3.777,1579303.101
2019-04-30 03:00:00,BINANCE:ATOMUSDT,3.777,4.075,3.75,3.917,639485.424
2019-05-01 03:00:00,BINANCE:ATOMUSDT,3.913,4.65,3.876,4.392,1702261.315
2019-05-02 03:00:00,BINANCE:ATOMUSDT,4.391,4.661,4.174,4.61,1133146.033
2019-05-03 03:00:00,BINANCE:ATOMUSDT,4.608,5.38,4.55,5.333,2774683.236
2019-05-04 03:00:00,BINANCE:ATOMUSDT,5.341,5.66,4.706,5.243,3500511.251
2019-05-05 03:00:00,BINANCE:ATOMUSDT,5.238,5.238,4.774,4.837,1544214.974
2019-05-06 03:00:00,BINANCE:ATOMUSDT,4.838,4.94,4.502,4.763,1395933.412
2019-05-07 03:00:00,BINANCE:ATOMUSDT,4.763,5.071,4.59,4.596,1104731.928
2019-05-08 03:00:00,BINANCE:ATOMUSDT,4.601,4.635,4.242,4.313,1076025.127
2019-05-09 03:00:00,BINANCE:ATOMUSDT,4.313,4.491,3.415,3.88,1848165.513
2019-05-10 03:00:00,BINANCE:ATOMUSDT,3.884,4.114,3.611,3.797,1403065.556
2019-05-11 03:00:00,BINANCE:ATOMUSDT,3.804,4.175,3.7,3.902,1421951.65
2019-05-12 03:00:00,BINANCE:ATOMUSDT,3.904,4.04,3.604,3.75,828353.863
2019-05-13 03:00:00,BINANCE:ATOMUSDT,3.75,4.173,3.734,3.897,1023379.117
2019-05-14 03:00:00,BINANCE:ATOMUSDT,3.897,4.087,3.779,4.0,1214232.757
2019-05-15 03:00:00,BINANCE:ATOMUSDT,4.0,4.8,3.986,4.547,1592045.388
2019-05-16 03:00:00,BINANCE:ATOMUSDT,4.546,4.78,4.0,4.278,1678626.34
2019-05-17 03:00:00,BINANCE:ATOMUSDT,4.268,4.792,3.95,4.413,2800485.785
2019-05-18 03:00:00,BINANCE:ATOMUSDT,4.413,5.0,4.33,4.684,1869590.999
2019-05-19 03:00:00,BINANCE:ATOMUSDT,4.684,5.171,4.636,4.852,1758978.665
2019-05-20 03:00:00,BINANCE:ATOMUSDT,4.852,4.863,4.432,4.673,1532786.286
2019-05-21 03:00:00,BINANCE:ATOMUSDT,4.668,4.864,4.48,4.743,1172703.704
2019-05-22 03:00:00,BINANCE:ATOMUSDT,4.74,4.821,4.3,4.306,997542.191
2019-05-23 03:00:00,BINANCE:ATOMUSDT,4.309,4.363,4.115,4.337,976154.051
2019-05-24 03:00:00,BINANCE:ATOMUSDT,4.335,4.77,4.258,4.454,2081163.248
2019-05-25 03:00:00,BINANCE:ATOMUSDT,4.447,4.6,4.287,4.385,606618.426
2019-05-26 03:00:00,BINANCE:ATOMUSDT,4.385,4.543,4.238,4.481,549918.061
2019-05-27 03:00:00,BINANCE:ATOMUSDT,4.478,4.699,4.47,4.655,660167.301
2019-05-28 03:00:00,BINANCE:ATOMUSDT,4.655,4.863,4.474,4.778,650998.4
2019-05-29 03:00:00,BINANCE:ATOMUSDT,4.794,4.873,4.5,4.696,598479.755
2019-05-30 03:00:00,BINANCE:ATOMUSDT,4.682,6.603,4.668,5.926,5953590.293
2019-05-31 03:00:00,BINANCE:ATOMUSDT,5.928,5.93,5.211,5.782,3477721.866
2019-06-01 03:00:00,BINANCE:ATOMUSDT,5.782,6.325,5.6,5.771,2589194.836
2019-06-02 03:00:00,BINANCE:ATOMUSDT,5.773,6.42,5.572,6.388,1467150.229
2019-06-03 03:00:00,BINANCE:ATOMUSDT,6.393,7.249,5.975,6.506,4684919.33099998
2019-06-04 03:00:00,BINANCE:ATOMUSDT,6.506,6.85,5.744,5.93,3388500.291
2019-06-05 03:00:00,BINANCE:ATOMUSDT,5.931,6.28,5.62,6.14,2180411.467
2019-06-06 03:00:00,BINANCE:ATOMUSDT,6.141,6.147,5.621,5.987,1767183.832
2019-06-07 03:00:00,BINANCE:ATOMUSDT,5.995,6.576,5.877,6.279,1848141.276
2019-06-08 03:00:00,BINANCE:ATOMUSDT,6.279,6.316,5.938,6.096,731554.535
2019-06-09 03:00:00,BINANCE:ATOMUSDT,6.097,6.185,5.7,5.826,649287.697
2019-06-10 03:00:00,BINANCE:ATOMUSDT,5.825,6.088,5.733,6.081,831823.182
2019-06-11 03:00:00,BINANCE:ATOMUSDT,6.076,6.176,5.753,5.943,561299.087
2019-06-12 03:00:00,BINANCE:ATOMUSDT,5.949,6.264,5.852,6.124,801399.898
2019-06-13 03:00:00,BINANCE:ATOMUSDT,6.125,6.506,6.023,6.266,785068.498
2019-06-14 03:00:00,BINANCE:ATOMUSDT,6.264,6.281,5.874,6.222,586553.437
2019-06-15 03:00:00,BINANCE:ATOMUSDT,6.224,6.265,6.102,6.167,373041.209
2019-06-16 03:00:00,BINANCE:ATOMUSDT,6.164,6.737,6.118,6.692,609802.274
2019-06-17 03:00:00,BINANCE:ATOMUSDT,6.689,7.1,6.454,7.009,945538.151
2019-06-18 03:00:00,BINANCE:ATOMUSDT,7.011,7.04,6.47,6.571,509203.32
2019-06-19 03:00:00,BINANCE:ATOMUSDT,6.586,6.849,6.55,6.628,388212.326
2019-06-20 03:00:00,BINANCE:ATOMUSDT,6.621,6.637,6.285,6.478,406246.334
2019-06-21 03:00:00,BINANCE:ATOMUSDT,6.476,6.589,6.334,6.523,380848.04
2019-06-22 03:00:00,BINANCE:ATOMUSDT,6.513,6.914,6.414,6.758,666888.522
2019-06-23 03:00:00,BINANCE:ATOMUSDT,6.764,7.193,6.716,6.838,639871.83
2019-06-24 03:00:00,BINANCE:ATOMUSDT,6.83,6.846,6.542,6.665,385615.304
2019-06-25 03:00:00,BINANCE:ATOMUSDT,6.675,6.747,6.474,6.581,467755.351
2019-06-26 03:00:00,BINANCE:ATOMUSDT,6.579,6.849,6.151,6.35,740796.315
2019-06-27 03:00:00,BINANCE:ATOMUSDT,6.35,6.416,5.36,5.558,1043714.484
