datetime,symbol,open,high,low,close,volume
2011-01-25 09:00:00,BIST:EKGYO,2.68,2.77,2.68,2.74,93234300.0
2011-01-26 09:00:00,BIST:EKGYO,2.75,2.87,2.75,2.86,99747240.0
2011-01-27 09:00:00,BIST:EKGYO,2.94,3.1,2.81,2.84,209078500.0
2011-01-28 09:00:00,BIST:EKGYO,2.74,2.74,2.59,2.69,174095600.0
2011-01-31 09:00:00,BIST:EKGYO,2.66,2.87,2.62,2.77,172288900.0
2011-02-01 09:00:00,BIST:EKGYO,2.88,2.91,2.81,2.86,105284800.0
2011-02-02 09:00:00,BIST:EKGYO,2.82,2.85,2.71,2.72,78462920.0
2011-02-03 09:00:00,BIST:EKGYO,2.72,2.74,2.63,2.64,105549200.0
2011-02-04 09:00:00,BIST:EKGYO,2.59,2.68,2.59,2.65,60859290.0
2011-02-07 09:00:00,BIST:EKGYO,2.71,2.76,2.67,2.68,58322810.0
2011-02-08 09:00:00,BIST:EKGYO,2.68,2.7,2.64,2.66,49639560.0
2011-02-09 09:00:00,BIST:EKGYO,2.66,2.75,2.65,2.72,75974030.0
2011-02-10 09:00:00,BIST:EKGYO,2.73,2.76,2.69,2.71,42730110.0
2011-02-11 09:00:00,BIST:EKGYO,2.68,2.71,2.66,2.69,43521410.0
2011-02-14 09:00:00,BIST:EKGYO,2.71,2.72,2.68,2.69,24969970.0
2011-02-15 09:00:00,BIST:EKGYO,2.66,2.74,2.65,2.73,80135360.0
2011-02-16 09:00:00,BIST:EKGYO,2.73,2.8,2.7,2.79,101562000.0
2011-02-17 09:00:00,BIST:EKGYO,2.86,2.89,2.8,2.83,99075530.0
2011-02-18 09:00:00,BIST:EKGYO,2.85,2.86,2.8,2.82,41921100.0
2011-02-21 09:00:00,BIST:EKGYO,2.81,2.81,2.69,2.72,80399280.0
2011-02-22 09:00:00,BIST:EKGYO,2.62,2.67,2.59,2.67,70759070.0
2011-02-23 09:00:00,BIST:EKGYO,2.68,2.73,2.65,2.67,64188360.0
2011-02-24 09:00:00,BIST:EKGYO,2.63,2.64,2.41,2.46,140168100.0
2011-02-25 09:00:00,BIST:EKGYO,2.51,2.55,2.48,2.52,84526010.0
2011-02-28 09:00:00,BIST:EKGYO,2.52,2.52,2.45,2.51,57515430.0
2011-03-01 09:00:00,BIST:EKGYO,2.52,2.53,2.34,2.35,57118790.0
2011-03-02 09:00:00,BIST:EKGYO,2.32,2.4,2.31,2.37,111043600.0
2011-03-03 09:00:00,BIST:EKGYO,2.4,2.58,2.4,2.58,133933800.0
2011-03-04 09:00:00,BIST:EKGYO,2.6,2.65,2.6,2.63,94613170.0
2011-03-07 09:00:00,BIST:EKGYO,2.58,2.62,2.54,2.58,84163160.0
2011-03-08 09:00:00,BIST:EKGYO,2.65,2.68,2.64,2.64,72699910.0
2011-03-09 09:00:00,BIST:EKGYO,2.72,2.72,2.65,2.68,87747870.0
2011-03-10 09:00:00,BIST:EKGYO,2.61,2.64,2.59,2.6,92429250.0
2011-03-11 09:00:00,BIST:EKGYO,2.57,2.62,2.57,2.6,76965610.0
2011-03-14 09:00:00,BIST:EKGYO,2.62,2.68,2.62,2.67,100760900.0
2011-03-15 09:00:00,BIST:EKGYO,2.61,2.64,2.55,2.63,119461100.0
2011-03-16 09:00:00,BIST:EKGYO,2.67,2.68,2.64,2.66,87056330.0
2011-03-17 09:00:00,BIST:EKGYO,2.62,2.66,2.59,2.65,61558520.0
2011-03-18 09:00:00,BIST:EKGYO,2.66,2.66,2.6,2.64,67347290.0
2011-03-21 09:00:00,BIST:EKGYO,2.65,2.69,2.63,2.68,69839150.0
2011-03-22 09:00:00,BIST:EKGYO,2.69,2.71,2.68,2.69,56117570.0
2011-03-23 09:00:00,BIST:EKGYO,2.66,2.69,2.6,2.61,66921220.0
2011-03-24 09:00:00,BIST:EKGYO,2.6,2.64,2.59,2.64,42068570.0
2011-03-25 09:00:00,BIST:EKGYO,2.65,2.65,2.62,2.64,30013010.0
2011-03-28 09:00:00,BIST:EKGYO,2.63,2.65,2.61,2.63,18713990.0
2011-03-29 09:00:00,BIST:EKGYO,2.69,2.69,2.69,2.69,61640230.0
2011-03-30 09:00:00,BIST:EKGYO,2.71,2.74,2.7,2.72,41662720.0
2011-03-31 09:00:00,BIST:EKGYO,2.67,2.72,2.65,2.65,63778410.0
2011-04-01 09:00:00,BIST:EKGYO,2.66,2.76,2.65,2.75,62243060.0
2011-04-04 09:00:00,BIST:EKGYO,2.75,2.79,2.74,2.79,83354120.0
2011-04-05 09:00:00,BIST:EKGYO,2.78,2.87,2.76,2.86,147599600.0
2011-04-06 09:00:00,BIST:EKGYO,2.86,2.92,2.86,2.92,102187300.0
2011-04-07 09:00:00,BIST:EKGYO,2.91,2.93,2.87,2.9,46609650.0
2011-04-08 09:00:00,BIST:EKGYO,2.91,2.91,2.86,2.87,34677270.0
2011-04-11 09:00:00,BIST:EKGYO,2.85,2.9,2.84,2.88,36333000.0
2011-04-12 09:00:00,BIST:EKGYO,2.86,2.93,2.86,2.92,47785990.0
2011-04-13 09:00:00,BIST:EKGYO,2.93,2.94,2.89,2.9,43429930.0
2011-04-14 09:00:00,BIST:EKGYO,2.9,2.9,2.87,2.89,15495360.0
2011-04-15 09:00:00,BIST:EKGYO,2.89,2.92,2.87,2.92,23608430.0
2011-04-18 09:00:00,BIST:EKGYO,2.93,2.97,2.82,2.85,101241000.0
2011-04-19 09:00:00,BIST:EKGYO,2.89,2.96,2.88,2.96,50240350.0
2011-04-20 09:00:00,BIST:EKGYO,2.98,2.98,2.91,2.92,48655050.0
2011-04-21 09:00:00,BIST:EKGYO,2.93,3.03,2.91,3.01,82282200.0
2011-04-22 09:00:00,BIST:EKGYO,3.01,3.03,2.98,3.0,31304110.0
2011-04-25 09:00:00,BIST:EKGYO,3.0,3.06,2.99,3.04,43573240.0
2011-04-26 09:00:00,BIST:EKGYO,3.03,3.06,2.99,3.02,38112690.0
2011-04-27 09:00:00,BIST:EKGYO,3.02,3.05,2.99,3.01,78576740.0
2011-04-28 09:00:00,BIST:EKGYO,3.02,3.03,2.99,3.03,25579280.0
2011-04-29 09:00:00,BIST:EKGYO,3.02,3.02,2.96,3.0,30749920.0
2011-05-02 09:00:00,BIST:EKGYO,3.01,3.02,2.92,2.94,31338640.0
2011-05-03 09:00:00,BIST:EKGYO,2.93,2.94,2.87,2.92,31650120.0
2011-05-04 09:00:00,BIST:EKGYO,2.93,2.94,2.89,2.91,21391090.0
2011-05-05 09:00:00,BIST:EKGYO,2.9,2.95,2.9,2.94,16639110.0
2011-05-06 09:00:00,BIST:EKGYO,2.94,2.95,2.9,2.91,19446290.0
2011-05-09 09:00:00,BIST:EKGYO,2.91,2.93,2.9,2.92,11068030.0
2011-05-10 09:00:00,BIST:EKGYO,2.92,3.0,2.92,2.94,72841970.0
2011-05-11 09:00:00,BIST:EKGYO,2.95,2.96,2.85,2.87,32022000.0
2011-05-12 09:00:00,BIST:EKGYO,2.85,2.94,2.85,2.94,29761490.0
2011-05-13 09:00:00,BIST:EKGYO,2.93,2.97,2.9,2.92,28012380.0
2011-05-16 09:00:00,BIST:EKGYO,2.91,2.93,2.86,2.89,30185680.0
2011-05-17 09:00:00,BIST:EKGYO,2.9,2.95,2.88,2.92,39031680.0
2011-05-18 09:00:00,BIST:EKGYO,2.92,2.92,2.79,2.8,30101450.0
2011-05-20 09:00:00,BIST:EKGYO,2.81,2.82,2.72,2.76,21614420.0
2011-05-23 09:00:00,BIST:EKGYO,2.72,2.82,2.71,2.8,18567420.0
2011-05-24 09:00:00,BIST:EKGYO,2.8,2.89,2.8,2.89,19784800.0
2011-05-25 09:00:00,BIST:EKGYO,2.86,2.92,2.84,2.85,31630750.0
2011-05-26 09:00:00,BIST:EKGYO,2.86,2.9,2.85,2.86,19432410.0
2011-05-27 09:00:00,BIST:EKGYO,2.87,2.88,2.76,2.79,24986800.0
2011-05-30 09:00:00,BIST:EKGYO,2.81,2.84,2.78,2.82,27327710.0
2011-05-31 09:00:00,BIST:EKGYO,2.86,2.96,2.86,2.93,79769530.0
2011-06-01 09:00:00,BIST:EKGYO,2.91,2.94,2.9,2.9,24814120.0
2011-06-02 09:00:00,BIST:EKGYO,2.88,2.93,2.87,2.92,16907400.0
2011-06-03 09:00:00,BIST:EKGYO,2.93,2.94,2.87,2.9,16185420.0
2011-06-06 09:00:00,BIST:EKGYO,2.9,2.94,2.9,2.94,14764540.0
