datetime,symbol,open,high,low,close,volume
2019-12-20 03:00:00,BINANCE:FTTUSDT,1.94,2.218,1.94,2.155,1168998.116
2019-12-21 03:00:00,BINANCE:FTTUSDT,2.153,2.157,2.136,2.149,112274.121
2019-12-22 03:00:00,BINANCE:FTTUSDT,2.146,2.275,2.137,2.275,1324239.891
2019-12-23 03:00:00,BINANCE:FTTUSDT,2.277,2.303,2.173,2.191,1644144.833
2019-12-24 03:00:00,BINANCE:FTTUSDT,2.187,2.201,2.138,2.161,136824.262
2019-12-25 03:00:00,BINANCE:FTTUSDT,2.159,2.165,2.138,2.141,40658.758
2019-12-26 03:00:00,BINANCE:FTTUSDT,2.14,2.194,2.139,2.141,89310.288
2019-12-27 03:00:00,BINANCE:FTTUSDT,2.141,2.172,2.139,2.149,182638.672
2019-12-28 03:00:00,BINANCE:FTTUSDT,2.15,2.188,2.15,2.181,57643.714
2019-12-29 03:00:00,BINANCE:FTTUSDT,2.176,2.249,2.167,2.21,47632.036
2019-12-30 03:00:00,BINANCE:FTTUSDT,2.208,2.211,2.151,2.167,58259.427
2019-12-31 03:00:00,BINANCE:FTTUSDT,2.154,2.186,2.142,2.144,89816.753
2020-01-01 03:00:00,BINANCE:FTTUSDT,2.147,2.162,2.141,2.144,36912.453
2020-01-02 03:00:00,BINANCE:FTTUSDT,2.144,2.152,2.142,2.142,137785.552
2020-01-03 03:00:00,BINANCE:FTTUSDT,2.143,2.233,2.14,2.204,153597.542
2020-01-04 03:00:00,BINANCE:FTTUSDT,2.201,2.206,2.157,2.164,37466.666
2020-01-05 03:00:00,BINANCE:FTTUSDT,2.174,2.2,2.135,2.139,47776.802
2020-01-06 03:00:00,BINANCE:FTTUSDT,2.138,2.191,2.136,2.183,106516.456
2020-01-07 03:00:00,BINANCE:FTTUSDT,2.186,2.241,2.129,2.166,533551.662
2020-01-08 03:00:00,BINANCE:FTTUSDT,2.161,2.202,2.134,2.176,938394.078
2020-01-09 03:00:00,BINANCE:FTTUSDT,2.173,2.173,2.135,2.161,256197.946
2020-01-10 03:00:00,BINANCE:FTTUSDT,2.159,2.24,2.134,2.228,318059.44
2020-01-11 03:00:00,BINANCE:FTTUSDT,2.234,2.234,2.135,2.147,251332.158
2020-01-12 03:00:00,BINANCE:FTTUSDT,2.143,2.198,2.133,2.183,182071.045
2020-01-13 03:00:00,BINANCE:FTTUSDT,2.182,2.182,2.14,2.155,96535.739
2020-01-14 03:00:00,BINANCE:FTTUSDT,2.15,2.215,2.143,2.176,554663.894
2020-01-15 03:00:00,BINANCE:FTTUSDT,2.172,2.368,2.15,2.367,1162491.233
2020-01-16 03:00:00,BINANCE:FTTUSDT,2.369,2.4,2.287,2.4,399721.104
2020-01-17 03:00:00,BINANCE:FTTUSDT,2.396,2.481,2.04,2.386,496915.663
2020-01-18 03:00:00,BINANCE:FTTUSDT,2.387,2.423,2.334,2.377,294660.645
