datetime,symbol,open,high,low,close,volume
1984-06-01 16:30:00,NASDAQ:MU,1.4125,1.4125,1.4125,1.4125,7340000.0
1984-06-04 16:30:00,NASDAQ:MU,1.4125,1.4125,1.4125,1.4125,4067000.0
1984-06-05 16:30:00,NASDAQ:MU,1.4,1.4,1.4,1.4,2089000.0
1984-06-06 16:30:00,NASDAQ:MU,1.475,1.475,1.475,1.475,1894000.0
1984-06-07 16:30:00,NASDAQ:MU,1.6375,1.6375,1.6375,1.6375,2078000.0
1984-06-08 16:30:00,NASDAQ:MU,1.7375,1.7375,1.7375,1.7375,2227000.0
1984-06-11 16:30:00,NASDAQ:MU,1.625,1.625,1.625,1.625,1219000.0
1984-06-12 16:30:00,NASDAQ:MU,1.6125,1.6125,1.6125,1.6125,670000.0
1984-06-13 16:30:00,NASDAQ:MU,1.6875,1.6875,1.6875,1.6875,1339000.0
1984-06-14 16:30:00,NASDAQ:MU,1.6375,1.6375,1.6375,1.6375,680000.0
1984-06-15 16:30:00,NASDAQ:MU,1.6875,1.6875,1.6875,1.6875,704000.0
1984-06-18 16:30:00,NASDAQ:MU,1.7375,1.7375,1.7375,1.7375,480000.0
1984-06-19 16:30:00,NASDAQ:MU,1.8625,1.8625,1.8625,1.8625,1581000.0
1984-06-20 16:30:00,NASDAQ:MU,2.0625,2.0625,2.0625,2.0625,2273000.0
1984-06-21 16:30:00,NASDAQ:MU,2.0375,2.0375,2.0375,2.0375,2039000.0
1984-06-22 16:30:00,NASDAQ:MU,2.2625,2.2625,2.2625,2.2625,1199000.0
1984-06-25 16:30:00,NASDAQ:MU,2.2375,2.2375,2.2375,2.2375,1579000.0
1984-06-26 16:30:00,NASDAQ:MU,2.3,2.3,2.3,2.3,1040000.0
1984-06-27 16:30:00,NASDAQ:MU,2.2375,2.2375,2.2375,2.2375,1046000.0
1984-06-28 16:30:00,NASDAQ:MU,2.35,2.35,2.35,2.35,563000.0
1984-06-29 16:30:00,NASDAQ:MU,2.5375,2.5375,2.5375,2.5375,1019000.0
1984-07-02 16:30:00,NASDAQ:MU,2.475,2.475,2.475,2.475,940000.0
1984-07-03 16:30:00,NASDAQ:MU,2.525,2.525,2.525,2.525,339000.0
1984-07-05 16:30:00,NASDAQ:MU,2.65,2.65,2.65,2.65,1428000.0
1984-07-06 16:30:00,NASDAQ:MU,2.625,2.625,2.625,2.625,728000.0
1984-07-09 16:30:00,NASDAQ:MU,2.575,2.575,2.575,2.575,963000.0
1984-07-10 16:30:00,NASDAQ:MU,2.5125,2.5125,2.5125,2.5125,1938000.0
1984-07-11 16:30:00,NASDAQ:MU,2.4,2.4,2.4,2.4,980000.0
1984-07-12 16:30:00,NASDAQ:MU,2.3375,2.3375,2.3375,2.3375,1021000.0
1984-07-13 16:30:00,NASDAQ:MU,2.3625,2.3625,2.3625,2.3625,223000.0
1984-07-16 16:30:00,NASDAQ:MU,2.2625,2.2625,2.2625,2.2625,473000.0
1984-07-17 16:30:00,NASDAQ:MU,2.3375,2.3375,2.3375,2.3375,350000.0
1984-07-18 16:30:00,NASDAQ:MU,2.325,2.325,2.325,2.325,150000.0
