datetime,symbol,open,high,low,close,volume
2007-06-29 09:00:00,BIST:TOASO,6.2,6.35,6.15,6.35,656358.0
2007-07-02 09:00:00,BIST:TOASO,6.35,6.35,6.2,6.25,407959.0
2007-07-03 09:00:00,BIST:TOASO,6.35,6.4,6.15,6.2,554748.0
2007-07-04 09:00:00,BIST:TOASO,6.25,6.25,6.05,6.15,865213.0
2007-07-05 09:00:00,BIST:TOASO,6.25,6.45,6.25,6.4,1539580.0
2007-07-06 09:00:00,BIST:TOASO,6.35,6.35,6.2,6.25,708692.0
2007-07-09 09:00:00,BIST:TOASO,6.35,6.4,6.3,6.35,728904.0
2007-07-10 09:00:00,BIST:TOASO,6.35,6.55,6.35,6.5,1169958.0
2007-07-11 09:00:00,BIST:TOASO,6.45,6.5,6.4,6.45,295867.0
2007-07-12 09:00:00,BIST:TOASO,6.5,6.65,6.45,6.65,1105473.0
2007-07-13 09:00:00,BIST:TOASO,6.75,6.75,6.55,6.6,480226.0
2007-07-16 09:00:00,BIST:TOASO,6.65,6.65,6.35,6.45,253547.0
2007-07-17 09:00:00,BIST:TOASO,6.4,6.4,6.25,6.35,344491.0
2007-07-18 09:00:00,BIST:TOASO,6.25,6.25,6.2,6.25,287329.0
2007-07-19 09:00:00,BIST:TOASO,6.3,6.55,6.3,6.5,431237.0
2007-07-20 09:00:00,BIST:TOASO,6.45,6.55,6.45,6.55,555765.0
2007-07-23 09:00:00,BIST:TOASO,6.85,6.85,6.65,6.85,1055982.0
2007-07-24 09:00:00,BIST:TOASO,6.8,6.85,6.55,6.6,375031.0
2007-07-25 09:00:00,BIST:TOASO,6.5,6.75,6.5,6.65,216054.0
2007-07-26 09:00:00,BIST:TOASO,6.7,6.7,6.25,6.4,364047.0
2007-07-27 09:00:00,BIST:TOASO,6.25,6.25,6.05,6.1,803647.0
2007-07-30 09:00:00,BIST:TOASO,6.1,6.15,6.0,6.1,477489.0
2007-07-31 09:00:00,BIST:TOASO,6.2,6.35,6.15,6.25,491339.0
2007-08-01 09:00:00,BIST:TOASO,6.05,6.1,6.05,6.05,292567.0
2007-08-02 09:00:00,BIST:TOASO,6.1,6.1,6.0,6.1,310081.0
2007-08-03 09:00:00,BIST:TOASO,6.1,6.1,5.85,5.85,173510.0
2007-08-06 09:00:00,BIST:TOASO,5.8,5.85,5.65,5.8,607546.0
2007-08-07 09:00:00,BIST:TOASO,5.9,5.95,5.85,5.9,615574.0
2007-08-08 09:00:00,BIST:TOASO,5.95,6.1,5.95,6.05,453807.0
2007-08-09 09:00:00,BIST:TOASO,6.15,6.15,5.9,6.0,1117629.0
2007-08-10 09:00:00,BIST:TOASO,5.7,6.1,5.7,6.0,271535.0
2007-08-13 09:00:00,BIST:TOASO,6.1,6.1,5.95,6.0,240908.0
2007-08-14 09:00:00,BIST:TOASO,5.9,5.95,5.85,5.85,259218.0
2007-08-15 09:00:00,BIST:TOASO,5.7,5.7,5.35,5.45,399864.0
2007-08-16 09:00:00,BIST:TOASO,5.3,5.3,4.65,4.85,872312.0
2007-08-17 09:00:00,BIST:TOASO,4.7,5.24,4.7,5.22,2254792.0
2007-08-20 09:00:00,BIST:TOASO,5.3,5.5,5.3,5.3,1038379.0
2007-08-21 09:00:00,BIST:TOASO,5.3,5.5,5.2,5.3,531024.0
2007-08-22 09:00:00,BIST:TOASO,5.3,5.65,5.3,5.6,580502.0
2007-08-23 09:00:00,BIST:TOASO,5.7,6.1,5.65,5.65,1584445.0
2007-08-24 09:00:00,BIST:TOASO,5.7,6.0,5.7,5.75,263642.0
2007-08-27 09:00:00,BIST:TOASO,5.9,5.9,5.75,5.8,119666.0
2007-08-28 09:00:00,BIST:TOASO,5.85,5.85,5.8,5.8,303112.0
2007-08-29 09:00:00,BIST:TOASO,5.65,5.9,5.65,5.7,596469.0
2007-08-31 09:00:00,BIST:TOASO,5.85,6.0,5.85,5.95,670293.0
2007-09-03 09:00:00,BIST:TOASO,6.0,6.0,5.9,6.0,463159.0
2007-09-04 09:00:00,BIST:TOASO,6.0,6.05,5.9,5.9,315970.0
2007-09-05 09:00:00,BIST:TOASO,5.95,6.1,5.9,5.9,543212.0
2007-09-06 09:00:00,BIST:TOASO,6.0,6.0,5.7,5.9,1348746.0
2007-09-07 09:00:00,BIST:TOASO,5.9,5.9,5.7,5.75,1359782.0
2007-09-10 09:00:00,BIST:TOASO,5.7,5.9,5.7,5.8,1176405.0
2007-09-11 09:00:00,BIST:TOASO,5.85,5.85,5.7,5.8,500992.0
2007-09-12 09:00:00,BIST:TOASO,5.85,5.9,5.8,5.85,504798.0
2007-09-13 09:00:00,BIST:TOASO,5.9,6.1,5.9,6.0,1121846.0
2007-09-14 09:00:00,BIST:TOASO,6.1,6.1,5.8,5.85,1225777.0
2007-09-17 09:00:00,BIST:TOASO,5.9,5.9,5.8,5.85,288170.0
2007-09-18 09:00:00,BIST:TOASO,5.8,5.9,5.75,5.8,340421.0
2007-09-19 09:00:00,BIST:TOASO,6.0,6.15,6.0,6.15,1128305.0
2007-09-20 09:00:00,BIST:TOASO,6.15,6.35,6.15,6.25,1219908.0
2007-09-21 09:00:00,BIST:TOASO,6.25,6.3,6.2,6.25,507469.0
2007-09-24 09:00:00,BIST:TOASO,6.3,6.35,6.15,6.2,531200.0
2007-09-25 09:00:00,BIST:TOASO,6.2,6.2,6.1,6.15,268586.0
2007-09-26 09:00:00,BIST:TOASO,6.25,6.25,6.05,6.1,595447.0
2007-09-27 09:00:00,BIST:TOASO,6.15,6.15,6.0,6.0,1431658.0
2007-09-28 09:00:00,BIST:TOASO,6.05,6.1,6.0,6.05,1201906.0
2007-10-01 09:00:00,BIST:TOASO,6.1,6.15,6.0,6.1,405770.0
2007-10-02 09:00:00,BIST:TOASO,6.2,6.2,6.05,6.05,1211782.0
2007-10-03 09:00:00,BIST:TOASO,6.1,6.2,6.0,6.15,1778464.0
2007-10-04 09:00:00,BIST:TOASO,6.15,6.25,6.15,6.15,1574633.0
2007-10-05 09:00:00,BIST:TOASO,6.15,6.3,6.15,6.25,1819162.0
2007-10-08 09:00:00,BIST:TOASO,6.3,6.45,6.3,6.3,1561971.0
2007-10-09 09:00:00,BIST:TOASO,6.35,6.35,6.25,6.3,701835.0
2007-10-10 09:00:00,BIST:TOASO,6.35,6.35,6.2,6.2,579615.0
2007-10-11 09:00:00,BIST:TOASO,6.2,6.25,6.15,6.15,453427.0
2007-10-15 09:00:00,BIST:TOASO,6.15,6.2,6.0,6.05,797049.0
2007-10-16 09:00:00,BIST:TOASO,6.0,6.05,5.95,6.05,1049301.0
2007-10-17 09:00:00,BIST:TOASO,6.0,6.4,6.0,6.3,2986958.0
2007-10-18 09:00:00,BIST:TOASO,6.35,6.35,6.15,6.2,1039918.0
2007-10-19 09:00:00,BIST:TOASO,6.15,6.3,6.15,6.2,1495250.0
2007-10-22 09:00:00,BIST:TOASO,6.0,6.05,5.85,5.95,616199.0
2007-10-23 09:00:00,BIST:TOASO,6.0,6.15,6.0,6.1,888047.0
2007-10-24 09:00:00,BIST:TOASO,6.15,6.2,6.1,6.1,459853.0
2007-10-25 09:00:00,BIST:TOASO,6.1,6.15,6.05,6.05,1113534.0
2007-10-26 09:00:00,BIST:TOASO,6.1,6.2,6.1,6.15,500933.0
2007-10-30 09:00:00,BIST:TOASO,6.15,6.25,6.1,6.15,658862.0
2007-10-31 09:00:00,BIST:TOASO,6.1,6.2,6.1,6.15,1856205.0
2007-11-01 09:00:00,BIST:TOASO,6.2,6.2,6.05,6.1,428661.0
2007-11-02 09:00:00,BIST:TOASO,6.0,6.15,6.0,6.05,667974.0
2007-11-05 09:00:00,BIST:TOASO,6.1,6.1,5.9,5.9,319315.0
2007-11-06 09:00:00,BIST:TOASO,6.0,6.1,6.0,6.05,284263.0
2007-11-07 09:00:00,BIST:TOASO,6.05,6.05,5.9,5.9,419818.0
2007-11-08 09:00:00,BIST:TOASO,5.75,5.75,5.75,5.75,435740.0
2007-11-09 09:00:00,BIST:TOASO,5.8,5.8,5.4,5.55,967914.0
2007-11-12 09:00:00,BIST:TOASO,5.55,5.55,5.4,5.5,1460816.0
2007-11-13 09:00:00,BIST:TOASO,5.45,5.55,5.4,5.55,537905.0
2007-11-14 09:00:00,BIST:TOASO,5.65,5.65,5.55,5.65,802572.0
2007-11-15 09:00:00,BIST:TOASO,5.65,5.65,5.45,5.45,562724.0
2007-11-16 09:00:00,BIST:TOASO,5.45,5.5,5.45,5.5,467100.0
2007-11-19 09:00:00,BIST:TOASO,5.5,5.55,5.45,5.5,773678.0
2007-11-20 09:00:00,BIST:TOASO,5.45,5.45,5.25,5.35,1150165.0
2007-11-21 09:00:00,BIST:TOASO,5.25,5.25,5.15,5.2,302673.0
2007-11-22 09:00:00,BIST:TOASO,5.3,5.3,5.1,5.2,1431749.0
2007-11-23 09:00:00,BIST:TOASO,5.2,5.3,5.15,5.2,289179.0
2007-11-26 09:00:00,BIST:TOASO,5.25,5.35,5.25,5.3,1064937.0
2007-11-27 09:00:00,BIST:TOASO,5.2,5.4,5.2,5.35,982615.0
2007-11-28 09:00:00,BIST:TOASO,5.4,5.6,5.4,5.55,1009889.0
2007-11-29 09:00:00,BIST:TOASO,5.6,5.75,5.6,5.65,1311173.0
2007-11-30 09:00:00,BIST:TOASO,5.65,5.9,5.65,5.75,995910.0
2007-12-03 09:00:00,BIST:TOASO,5.85,6.0,5.85,6.0,1288211.0
2007-12-04 09:00:00,BIST:TOASO,6.0,6.0,5.8,5.95,452195.0
2007-12-05 09:00:00,BIST:TOASO,5.95,6.05,5.9,6.0,1104892.0
2007-12-06 09:00:00,BIST:TOASO,6.05,6.3,6.05,6.3,1088940.0
2007-12-07 09:00:00,BIST:TOASO,6.15,6.3,6.15,6.3,859936.0
