datetime,symbol,open,high,low,close,volume
2020-09-17 03:00:00,BINANCE:UNIUSDT,0.3,15.0,0.3,3.4617,102597222.59000014
2020-09-18 03:00:00,BINANCE:UNIUSDT,3.4618,8.6,3.2285,6.9,167667906.96999994
2020-09-19 03:00:00,BINANCE:UNIUSDT,6.9,7.4963,5.19,5.7244,79814511.66000003
2020-09-20 03:00:00,BINANCE:UNIUSDT,5.7244,6.09,4.65,5.223,53519725.62000008
2020-09-21 03:00:00,BINANCE:UNIUSDT,5.22,5.65,4.06,4.2471,56110504.32000006
2020-09-22 03:00:00,BINANCE:UNIUSDT,4.2505,4.554,3.6828,3.9105,40815724.83000002
2020-09-23 03:00:00,BINANCE:UNIUSDT,3.9079,5.3475,3.9008,4.38,58485584.80000006
2020-09-24 03:00:00,BINANCE:UNIUSDT,4.38,5.2888,4.26,5.164,44859170.85000002
2020-09-25 03:00:00,BINANCE:UNIUSDT,5.159,5.5525,4.7605,4.9145,31809864.62000006
2020-09-26 03:00:00,BINANCE:UNIUSDT,4.9134,4.9897,4.6752,4.8684,15021040.64999998
2020-09-27 03:00:00,BINANCE:UNIUSDT,4.8638,5.2133,4.7,4.8458,14663658.98999999
2020-09-28 03:00:00,BINANCE:UNIUSDT,4.846,4.95,4.18,4.2503,15753026.48000001
2020-09-29 03:00:00,BINANCE:UNIUSDT,4.2475,4.4135,4.12,4.3826,11551787.70000001
2020-09-30 03:00:00,BINANCE:UNIUSDT,4.3826,4.3854,3.95,4.1554,8331877.30000001
2020-10-01 03:00:00,BINANCE:UNIUSDT,4.1554,4.514,3.9038,4.2397,18775683.02999996
2020-10-02 03:00:00,BINANCE:UNIUSDT,4.2396,4.2396,3.569,3.8904,12414352.91
2020-10-03 03:00:00,BINANCE:UNIUSDT,3.89,4.1195,3.83,3.9041,6558893.01
2020-10-04 03:00:00,BINANCE:UNIUSDT,3.9001,3.9447,3.61,3.7262,9253080.75999997
2020-10-05 03:00:00,BINANCE:UNIUSDT,3.7235,3.8,3.1817,3.319,14619829.43
2020-10-06 03:00:00,BINANCE:UNIUSDT,3.319,3.3409,2.63,2.7143,23504656.66999998
2020-10-07 03:00:00,BINANCE:UNIUSDT,2.7143,3.0,2.4779,2.9621,24192428.29000003
2020-10-08 03:00:00,BINANCE:UNIUSDT,2.9629,3.4654,2.6428,3.3499,25679034.97
2020-10-09 03:00:00,BINANCE:UNIUSDT,3.3499,3.6,3.1749,3.3834,16228659.82999999
2020-10-10 03:00:00,BINANCE:UNIUSDT,3.38,3.6578,3.2664,3.2989,10858881.78
2020-10-11 03:00:00,BINANCE:UNIUSDT,3.2956,3.451,3.1776,3.3626,8504843.74999999
2020-10-12 03:00:00,BINANCE:UNIUSDT,3.36,3.5994,3.282,3.4599,8926434.98
2020-10-13 03:00:00,BINANCE:UNIUSDT,3.4554,3.5,3.2931,3.3546,5585565.98
2020-10-14 03:00:00,BINANCE:UNIUSDT,3.3511,3.44,2.97,3.1123,11409168.59999999
2020-10-15 03:00:00,BINANCE:UNIUSDT,3.1105,3.1674,2.915,3.0793,7895030.52
2020-10-16 03:00:00,BINANCE:UNIUSDT,3.0765,3.3803,2.8813,3.0426,13597633.89000001
2020-10-17 03:00:00,BINANCE:UNIUSDT,3.0436,3.1249,2.9703,3.0566,5391124.74
2020-10-18 03:00:00,BINANCE:UNIUSDT,3.0574,3.291,3.0472,3.2811,5642285.19
2020-10-19 03:00:00,BINANCE:UNIUSDT,3.2797,3.2885,3.11,3.1703,4410931.55
2020-10-20 03:00:00,BINANCE:UNIUSDT,3.1703,3.191,2.8008,2.8582,9089338.54999999
2020-10-21 03:00:00,BINANCE:UNIUSDT,2.8582,3.0884,2.8389,2.9371,9708638.42000002
2020-10-22 03:00:00,BINANCE:UNIUSDT,2.9359,3.1484,2.9194,3.0432,5420844.92999999
2020-10-23 03:00:00,BINANCE:UNIUSDT,3.0418,3.1219,2.9621,3.011,4318812.16
2020-10-24 03:00:00,BINANCE:UNIUSDT,3.0123,3.085,2.9272,2.9399,3415735.11
2020-10-25 03:00:00,BINANCE:UNIUSDT,2.939,2.966,2.7101,2.7726,4908494.61
2020-10-26 03:00:00,BINANCE:UNIUSDT,2.7717,2.878,2.52,2.7114,7181296.48999999
2020-10-27 03:00:00,BINANCE:UNIUSDT,2.7109,2.9131,2.6992,2.8096,7266259.31
2020-10-28 03:00:00,BINANCE:UNIUSDT,2.8086,2.8593,2.5952,2.6611,6456512.25999999
2020-10-29 03:00:00,BINANCE:UNIUSDT,2.6594,2.7395,2.4864,2.5391,4388799.14
2020-10-30 03:00:00,BINANCE:UNIUSDT,2.5388,2.5663,2.233,2.4134,11811039.44000001
2020-10-31 03:00:00,BINANCE:UNIUSDT,2.4136,2.4138,2.24,2.2662,4373032.59
2020-11-01 03:00:00,BINANCE:UNIUSDT,2.2648,2.4537,2.219,2.3765,5706748.83
